id,DateTime,DateTimeUTC,driver,device,status,origin,state,malfunction,version,sequence,eventRecordStatus,eventCode,eventType,deferralStatus,deferralMinutes,isIgnored,eventCheckSum,isTransitioning
aw0uCKpqMfEaikTC2I0zlbw,2024-05-21 20:21,2024-05-22 00:21:13.453000+00:00,b1CC,NoDeviceId,OFF,Manual,Active,None,000000000072b4af,000000000001fbc2,1,1,1,None,0,FALSE,00000000000000e8,FALSE
alM3Dw2DtZUyf3BETfzmA5A,2024-05-22 15:55,2024-05-22 19:55:49.476000+00:00,b1CC,NoDeviceId,OFF,Manual,Active,None,000000000072f8d6,000000000001fcbd,1,1,1,None,0,FALSE,0000000000000038,FALSE
aaeduDOzqL06FvxTknXuTaA,2024-05-21 8:01,2024-05-21 12:01:28.727000+00:00,b1CE,NoDeviceId,OFF,Manual,Active,None,0000000000729ec8,000000000001fb08,1,1,1,None,0,FALSE,00000000000000a8,FALSE
alNbq0SoRjkmqP36ENZs5lQ,2024-05-22 3:30,2024-05-22 07:30:39.683000+00:00,b1CE,NoDeviceId,OFF,Manual,Active,None,000000000072d45f,000000000001fbfc,1,1,1,None,0,FALSE,0000000000000070,FALSE
amzeEztF63kqjgzyeO7He3w,2024-05-23 2:52,2024-05-23 06:52:40.933000+00:00,b1CE,NoDeviceId,OFF,Manual,Active,None,0000000000732015,000000000001fd57,1,1,1,None,0,FALSE,0000000000000050,FALSE
amPOWYeNfrEKILIEHj8S59g,2024-05-21 20:42,2024-05-22 00:42:07.943000+00:00,b1D5,b2B8,OFF,Manual,Active,None,000000000072dce6,000000000000502e,1,1,1,None,0,FALSE,0000000000000006,FALSE
aqZyl3oErSUap5Jqy4IIbrw,2024-05-22 14:33,2024-05-22 18:33:01.515000+00:00,b1D5,NoDeviceId,OFF,Manual,Active,None,000000000072f72c,000000000001fca5,1,1,1,None,0,FALSE,00000000000000c8,FALSE
aCt80pARYOE--kFMcWYoSbg,2024-05-21 16:48,2024-05-21 20:48:10.673000+00:00,b1D7,NoDeviceId,OFF,Manual,Active,None,000000000072ab0d,000000000001fb8b,1,1,1,None,0,FALSE,00000000000000c8,FALSE
auFUFv5dT6kKvnvCJYr60KQ,2024-05-22 14:33,2024-05-22 18:33:12.490000+00:00,b1D7,NoDeviceId,OFF,Manual,Active,None,000000000072f737,000000000001fca6,1,1,1,None,0,FALSE,00000000000000e8,FALSE
aRPtzFybly02dYC8NT7ylVQ,2024-05-21 8:14,2024-05-21 12:14:21.523000+00:00,b1D9,b37,OFF,Manual,Active,None,0000000000729fc0,00000000000044a7,1,1,1,None,0,FALSE,00000000000000fe,FALSE
ayBBoGDNmpEiWeoB9lbHAJQ,2024-05-22 7:41,2024-05-22 11:41:03.363000+00:00,b1D9,b37,OFF,Manual,Active,None,000000000072e7ce,00000000000044cf,1,1,1,None,0,FALSE,00000000000000fe,FALSE
a4t1aoVujm0WKiio-gpQcTQ,2024-05-23 5:57,2024-05-23 09:57:45.843000+00:00,b1D9,b37,OFF,Manual,Active,None,0000000000733010,0000000000004518,1,1,1,None,0,FALSE,0000000000000026,FALSE
aYLO5sMW450myFxhrPU1IOw,2024-05-21 16:10,2024-05-21 20:10:12.017000+00:00,b1DA,NoDeviceId,OFF,Manual,Active,None,000000000072aa74,000000000001fb80,1,1,1,None,0,FALSE,0000000000000081,FALSE
a3oBEsU6kaUiBCaz5_uk-OQ,2024-05-22 19:03,2024-05-22 23:03:45.054000+00:00,b1DA,NoDeviceId,OFF,Manual,Active,None,000000000072fd53,000000000001fd14,1,1,1,None,0,FALSE,0000000000000061,FALSE
a_oLPU7sN40-6HdKwcHOhwA,2024-05-21 16:01,2024-05-21 20:01:00.300000+00:00,b1DD,b4,OFF,Manual,Active,None,000000000072aadf,0000000000005c19,1,1,1,None,0,FALSE,00000000000000e6,FALSE
auhdvG2KH5Um1sZVFtUTKUw,2024-05-22 14:57,2024-05-22 18:57:00.188000+00:00,b1DD,NoDeviceId,OFF,Manual,Active,None,000000000072f7a3,000000000001fcac,1,1,1,None,0,FALSE,0000000000000019,FALSE
a6ZrcLgtNF0KIKjrL0EsLCA,2024-05-21 17:15,2024-05-21 21:15:22.127000+00:00,b1DE,b480,OFF,Manual,Active,None,000000000072b5d1,00000000000014b6,1,1,1,None,0,FALSE,000000000000007e,FALSE
aC9V4iN7aB0u8pOXeBSfvPg,2024-05-21 20:38,2024-05-22 00:38:51.467000+00:00,b1DE,NoDeviceId,OFF,Manual,Active,None,000000000072b5d8,000000000001fbc6,1,1,1,None,0,FALSE,0000000000000058,FALSE
aHJL5WcN2T0SavjyX_09w1w,2024-05-22 20:34,2024-05-23 00:34:12.547000+00:00,b1DE,NoDeviceId,OFF,Manual,Active,None,00000000007302eb,000000000001fd26,1,1,1,None,0,FALSE,00000000000000a0,FALSE
a94LI1wcNbkCaUpt8GZI22Q,2024-05-21 12:17,2024-05-21 16:17:38.540000+00:00,b1DF,b370,OFF,Manual,Active,None,000000000072acff,0000000000002364,1,1,1,None,0,FALSE,00000000000000dd,FALSE
au62akSes9Eim9KhcHxj0pA,2024-05-21 15:04,2024-05-21 19:04:35.747000+00:00,b1DF,b370,OFF,Manual,Active,None,000000000072ad06,000000000000236b,1,1,1,None,0,FALSE,000000000000003e,FALSE
a0gWZCWHJgEy72881FVoo0A,2024-05-21 18:20,2024-05-21 22:20:13.297000+00:00,b1DF,NoDeviceId,OFF,Manual,Active,None,000000000072ad09,000000000001fbaa,1,1,1,None,0,FALSE,0000000000000049,FALSE
aUpuEMBSEdEGLkfR35UExHQ,2024-05-22 16:06,2024-05-22 20:06:19.053000+00:00,b1DF,NoDeviceId,OFF,Manual,Active,None,000000000072f929,000000000001fcc4,1,1,1,None,0,FALSE,0000000000000060,FALSE
aU6TVkcmqSkKFxEbjuLUx-A,2024-05-23 11:57,2024-05-23 15:57:06.400000+00:00,b1DF,b370,OFF,Manual,Active,None,0000000000734857,00000000000023b7,1,1,1,None,0,FALSE,00000000000000dd,FALSE
akj6TrkiexkSRNcvLVWPb0g,2024-05-21 10:26,2024-05-21 14:26:02+00:00,b1E0,b484,OFF,Manual,Active,None,000000000072ad38,000000000000143f,1,1,1,None,0,FALSE,000000000000008e,FALSE
aVPsjHtW_nEOHRUJxYctC1g,2024-05-21 17:03,2024-05-21 21:03:12.210000+00:00,b1E0,b380,OFF,Manual,Active,None,000000000072ad3c,0000000000002ea9,1,1,1,None,0,FALSE,0000000000000037,FALSE
amwEDbcx16EyM4vxnYSBdLQ,2024-05-21 18:28,2024-05-21 22:28:00.380000+00:00,b1E0,b380,OFF,Manual,Active,None,000000000072ad49,0000000000002eb0,1,1,1,None,0,FALSE,00000000000000de,FALSE
aNZxqtMAkwEOcpRV5qs4CEw,2024-05-22 5:50,2024-05-22 09:50:45.017000+00:00,b1E0,b484,OFF,Manual,Active,None,000000000072fad0,0000000000001466,1,1,1,None,0,FALSE,0000000000000056,FALSE
